"date","value"
1919-01-01,764.0
1920-01-01,821.0
1921-01-01,768.0
1922-01-01,845.0
1923-01-01,864.0
1924-01-01,862.0
1925-01-01,698.0
1926-01-01,845.0
1927-01-01,744.0
1928-01-01,796.0
1929-01-01,1040.0
1930-01-01,759.0
1931-01-01,781.0
1932-01-01,865.0
1933-01-01,845.0
1934-01-01,944.0
1935-01-01,984.0
1936-01-01,897.0
1937-01-01,822.0
1938-01-01,1010.0
1939-01-01,771.0
1940-01-01,676.0
1941-01-01,649.0
1942-01-01,846.0
1943-01-01,812.0
1944-01-01,742.0
1945-01-01,801.0
1946-01-01,1040.0
1947-01-01,860.0
1948-01-01,874.0
1949-01-01,848.0
1950-01-01,890.0
1951-01-01,744.0
1952-01-01,749.0
1953-01-01,838.0
1954-01-01,1050.0
1955-01-01,918.0
1956-01-01,986.0
1957-01-01,797.0
1958-01-01,923.0
1959-01-01,975.0
1960-01-01,815.0
1961-01-01,1020.0
1962-01-01,906.0
1963-01-01,901.0
1964-01-01,1170.0
1965-01-01,912.0
1966-01-01,746.0
1967-01-01,919.0
1968-01-01,718.0
1969-01-01,714.0
1970-01-01,740.0